vehicle_brand,model_name,manufacturing_year,kilometres_driven,vehicle_condition,vehicle_type,body_type,engine_capacity,engine_cylinders,transmission_type,drive_type,fuel_type,fuel_consumption,doors,seats,location,state,vehicle_age,km_per_year,desc_len,is_new_vehicle,fuel_efficiency_score,engine_power_index,brand_tier,location_coarse,model_name_freq,location_coarse_freq
nissan,patrol,2003.0,135460.0,used,suv,suv,4.0,4.0,manual,4wd,diesel,8.0,4.0,7.0,other,vic,23.0,5889.565217391304,27,0,0.125,16.0,mid,other,0.006268520629131525,0.64497378618646
toyota,rav4,2008.0,215170.0,used,suv,suv,6.0,6.0,automatic,4wd,unleaded,10.5,4.0,5.0,"minchinbury, nsw",nsw,18.0,11953.888888888889,20,0,0.09523809523809523,36.0,mid,"minchinbury,",0.010485525416001824,0.05846820150444495
holden,commodore,2011.0,178173.0,used,sedan,sedan,6.0,6.0,automatic,rear,unleaded,10.1,4.0,5.0,"slacks creek, qld",qld,15.0,11878.2,25,0,0.09900990099009901,36.0,budget,slacks,0.0292910873033964,0.01504444950991566
mazda,other,2009.0,162018.0,used,suv,suv,4.0,4.0,automatic,front,unleaded,9.4,4.0,5.0,other,nsw,17.0,9530.470588235294,29,0,0.10638297872340426,16.0,budget,other,0.398677912012765,0.64497378618646
mercedes-benz,other,2015.0,66124.0,used,hatchback,hatchback,4.0,4.0,automatic,front,diesel,5.6,5.0,5.0,other,vic,11.0,6011.272727272727,41,0,0.17857142857142858,16.0,premium,other,0.398677912012765,0.64497378618646
subaru,forester,2009.0,172481.0,used,suv,suv,4.0,4.0,automatic,awd,premium,10.5,4.0,5.0,other,qld,17.0,10145.941176470587,31,0,0.09523809523809523,16.0,mid,other,0.009573740597219056,0.64497378618646
mazda,cx-5,2014.0,130664.0,used,suv,suv,4.0,4.0,automatic,awd,unleaded,7.4,4.0,5.0,other,sa,12.0,10888.666666666666,34,0,0.13513513513513511,16.0,budget,other,0.010713471620697515,0.64497378618646
mazda,bt-50,2015.0,31931.0,used,ute / tray,ute / tray,5.0,5.0,automatic,4wd,diesel,9.2,4.0,5.0,other,nsw,11.0,2902.818181818182,25,0,0.10869565217391305,25.0,budget,other,0.01139731023478459,0.64497378618646
mazda,2,2015.0,193198.0,used,hatchback,hatchback,4.0,4.0,automatic,front,unleaded,5.5,5.0,5.0,"wangara, wa",wa,11.0,17563.454545454544,16,0,0.18181818181818182,16.0,budget,"wangara,",0.006610439936175063,0.016868019147481195
holden,other,2015.0,120435.0,used,suv,suv,4.0,4.0,manual,front,unleaded,7.0,4.0,5.0,other,nsw,11.0,10948.636363636364,26,0,0.14285714285714285,16.0,budget,other,0.398677912012765,0.64497378618646
volkswagen,other,2014.0,87055.0,used,melbourne truck and vans,commercial,4.0,4.0,automatic,other,diesel,8.0,4.0,5.0,other,vic,12.0,7254.583333333333,28,0,0.125,16.0,mid,other,0.398677912012765,0.64497378618646
volkswagen,other,2015.0,117775.0,used,commercial,commercial,4.0,4.0,manual,front,premium,6.9,3.0,2.0,other,nsw,11.0,10706.818181818182,28,0,0.14492753623188406,16.0,mid,other,0.398677912012765,0.64497378618646
hyundai,other,2013.0,114059.0,used,hatchback,hatchback,4.0,4.0,automatic,front,unleaded,6.4,5.0,5.0,"cardiff, nsw",nsw,13.0,8773.76923076923,23,0,0.15625,16.0,budget,"cardiff,",0.398677912012765,0.016070207431046275
bmw,other,2009.0,326592.0,used,suv,suv,6.0,6.0,automatic,4wd,diesel,8.7,4.0,5.0,"braybrook, vic",vic,17.0,19211.29411764706,32,0,0.1149425287356322,36.0,premium,"braybrook,",0.398677912012765,0.0063824937314793705
volkswagen,other,2016.0,50385.0,used,sedan,sedan,4.0,4.0,automatic,front,premium,6.0,4.0,5.0,other,nsw,10.0,5038.5,42,0,0.16666666666666666,16.0,mid,other,0.398677912012765,0.64497378618646
ford,falcon,2009.0,243175.0,used,sedan,sedan,6.0,6.0,automatic,rear,unleaded,10.5,4.0,5.0,other,nt,17.0,14304.411764705883,19,0,0.09523809523809523,36.0,mid,other,0.012081148848871666,0.64497378618646
mercedes-benz,other,2015.0,118441.0,used,suv,suv,6.0,6.0,automatic,awd,diesel,6.6,4.0,5.0,"rozelle, nsw",nsw,11.0,10767.363636363636,27,0,0.15151515151515152,36.0,premium,"rozelle,",0.398677912012765,0.0063824937314793705
suzuki,other,2014.0,50392.0,used,suv,suv,4.0,4.0,automatic,front,unleaded,5.8,4.0,5.0,other,nsw,12.0,4199.333333333333,28,0,0.1724137931034483,16.0,budget,other,0.398677912012765,0.64497378618646
volkswagen,other,2009.0,125613.0,used,sedan,sedan,6.0,6.0,automatic,awd,premium,10.5,4.0,4.0,"ringwood, vic",vic,17.0,7389.0,32,0,0.09523809523809523,36.0,mid,"ringwood,",0.398677912012765,0.02062913152496011
volkswagen,amarok,2017.0,117156.0,used,ute / tray,ute / tray,6.0,6.0,automatic,4wd,diesel,7.8,4.0,5.0,other,wa,9.0,13017.333333333334,42,0,0.12820512820512822,36.0,mid,other,0.005812628219740141,0.64497378618646
holden,colorado,2017.0,227000.0,used,ute / tray,ute / tray,4.0,4.0,automatic,4wd,diesel,9.1,4.0,5.0,"moorabbin, vic",vic,9.0,25222.222222222223,30,0,0.10989010989010989,16.0,budget,"moorabbin,",0.01584226122635058,0.011853202644175975
toyota,hilux,2017.0,164048.0,used,ute / tray,ute / tray,4.0,4.0,manual,rear,diesel,7.7,2.0,2.0,other,qld,9.0,18227.555555555555,26,0,0.12987012987012986,16.0,mid,other,0.027467517665830863,0.64497378618646
mazda,cx-9,2017.0,40809.0,used,suv,suv,4.0,4.0,automatic,front,unleaded,8.4,4.0,7.0,other,qld,9.0,4534.333333333333,27,0,0.11904761904761904,16.0,budget,other,0.006724413038522908,0.64497378618646
mercedes-benz,other,2016.0,65836.0,used,sedan,sedan,4.0,4.0,automatic,rear,premium,6.0,4.0,5.0,other,nsw,10.0,6583.6,23,0,0.16666666666666666,16.0,premium,other,0.398677912012765,0.64497378618646
holden,other,2008.0,357456.43,used,ute / tray,ute / tray,4.0,4.0,manual,rear,diesel,8.4,4.0,5.0,other,vic,18.0,24905.444444444445,20,0,0.11904761904761904,16.0,budget,other,0.398677912012765,0.64497378618646
mazda,other,2010.0,212587.0,used,suv,suv,4.0,4.0,automatic,awd,unleaded,11.5,4.0,5.0,other,vic,16.0,13286.6875,35,0,0.08695652173913043,16.0,budget,other,0.398677912012765,0.64497378618646
holden,other,2013.0,127084.0,used,ute / tray,ute / tray,8.0,8.0,automatic,rear,unleaded,12.4,2.0,2.0,other,wa,13.0,9775.692307692309,18,0,0.08064516129032258,64.0,budget,other,0.398677912012765,0.64497378618646
bmw,other,2017.0,93351.0,used,suv,suv,4.0,4.0,automatic,awd,premium,6.6,4.0,5.0,other,nsw,9.0,10372.333333333334,22,0,0.15151515151515152,16.0,premium,other,0.398677912012765,0.64497378618646
mercedes-benz,other,2006.0,210338.0,used,suv,suv,8.0,8.0,automatic,4wd,premium,13.4,4.0,5.0,"minchinbury, nsw",nsw,20.0,10516.9,37,0,0.07462686567164178,64.0,premium,"minchinbury,",0.398677912012765,0.05846820150444495
holden,cruze,2010.0,207504.0,used,sedan,sedan,4.0,4.0,automatic,front,unleaded,7.5,4.0,5.0,"ringwood, vic",vic,16.0,12969.0,20,0,0.13333333333333333,16.0,budget,"ringwood,",0.01196717574652382,0.02062913152496011
renault,other,2013.0,124318.0,used,hatchback,hatchback,4.0,4.0,automatic,front,diesel,4.4,5.0,5.0,other,qld,13.0,9562.923076923076,29,0,0.22727272727272727,16.0,budget,other,0.398677912012765,0.64497378618646
land,rover,2014.0,138373.0,used,suv,suv,6.0,6.0,automatic,awd,diesel,7.5,4.0,5.0,other,vic,12.0,11531.083333333334,45,0,0.13333333333333333,36.0,premium,other,0.017323911556872577,0.64497378618646
other,other,2013.0,87629.0,used,sedan,sedan,6.0,6.0,automatic,front,diesel,7.4,4.0,5.0,other,nsw,13.0,6740.692307692308,32,0,0.13513513513513511,36.0,premium,other,0.398677912012765,0.64497378618646
holden,other,2006.0,357456.43,used,ute / tray,ute / tray,4.0,4.0,manual,4wd,diesel,8.0,2.0,2.0,"wangara, wa",wa,20.0,19225.0,26,0,0.125,16.0,budget,"wangara,",0.398677912012765,0.016868019147481195
mazda,3,2011.0,181675.0,used,sedan,sedan,4.0,4.0,automatic,front,unleaded,6.1,4.0,5.0,"lidcombe, nsw",nsw,15.0,12111.666666666666,26,0,0.1639344262295082,16.0,budget,"lidcombe,",0.019603373603829497,0.009231821290175518
jeep,grand,2015.0,99121.0,used,suv,suv,6.0,6.0,automatic,4wd,premium,10.4,4.0,5.0,other,wa,11.0,9011.0,39,0,0.09615384615384615,36.0,mid,other,0.01641212673808981,0.64497378618646
ford,other,2002.0,179999.0,used,ute / tray,ute / tray,8.0,8.0,automatic,4wd,diesel,8.0,4.0,5.0,other,nsw,24.0,7499.958333333333,24,0,0.125,64.0,mid,other,0.398677912012765,0.64497378618646
toyota,other,2014.0,95586.0,used,my car choice,wagon,4.0,4.0,automatic,other,unleaded,8.0,4.0,5.0,other,nsw,12.0,7965.5,23,0,0.125,16.0,mid,other,0.398677912012765,0.64497378618646
nissan,navara,2009.0,169115.0,used,ute / tray,ute / tray,4.0,4.0,automatic,4wd,diesel,10.5,4.0,5.0,other,vic,17.0,9947.941176470587,29,0,0.09523809523809523,16.0,mid,other,0.02005926601322088,0.64497378618646
hyundai,tucson,2017.0,94626.0,used,suv,suv,4.0,4.0,automatic,awd,diesel,6.8,4.0,5.0,other,sa,9.0,10514.0,50,0,0.14705882352941177,16.0,budget,other,0.009915659904262594,0.64497378618646
nissan,other,2012.0,119195.0,used,sedan,sedan,6.0,6.0,automatic,front,unleaded,9.5,4.0,5.0,other,wa,14.0,8513.92857142857,27,0,0.10526315789473684,36.0,mid,other,0.398677912012765,0.64497378618646
ford,ranger,2017.0,187148.0,used,ute / tray,ute / tray,5.0,5.0,automatic,4wd,diesel,8.8,4.0,5.0,"cardiff, nsw",nsw,9.0,20794.222222222223,29,0,0.11363636363636363,25.0,mid,"cardiff,",0.024048324595395486,0.016070207431046275
toyota,hilux,2007.0,302602.0,used,ute / tray,ute / tray,4.0,4.0,manual,4wd,diesel,8.5,4.0,5.0,other,qld,19.0,15926.421052631578,26,0,0.11764705882352941,16.0,mid,other,0.027467517665830863,0.64497378618646
fiat,other,2013.0,188475.0,used,hatchback,hatchback,4.0,4.0,automatic,front,unleaded,5.4,5.0,5.0,other,wa,13.0,14498.076923076924,20,0,0.18518518518518517,16.0,budget,other,0.398677912012765,0.64497378618646
ford,other,2013.0,35222.0,used,hatchback,hatchback,4.0,4.0,manual,front,unleaded,6.1,5.0,5.0,other,qld,13.0,2709.3846153846152,19,0,0.1639344262295082,16.0,mid,other,0.398677912012765,0.64497378618646
kia,other,2017.0,22616.0,used,hatchback,hatchback,4.0,4.0,automatic,front,unleaded,5.3,5.0,5.0,other,nsw,9.0,2512.8888888888887,19,0,0.18867924528301888,16.0,budget,other,0.398677912012765,0.64497378618646
porsche,other,2015.0,116341.0,used,suv,suv,6.0,6.0,automatic,awd,premium,8.7,4.0,5.0,"croydon, nsw",nsw,11.0,10576.454545454546,20,0,0.1149425287356322,36.0,premium,"croydon,",0.398677912012765,0.007636197857305676
holden,commodore,2008.0,159018.0,used,sedan,sedan,8.0,8.0,automatic,rear,premium,14.6,4.0,5.0,other,vic,18.0,8834.333333333334,26,0,0.0684931506849315,64.0,budget,other,0.0292910873033964,0.64497378618646
toyota,estima,2011.0,138822.0,used,nippon motors,commercial,4.0,4.0,automatic,other,unleaded,8.0,4.0,5.0,"ingleburn, nsw",nsw,15.0,9254.8,27,0,0.125,16.0,mid,"ingleburn,",0.010143606108958286,0.006724413038522908
jeep,grand,2017.0,172266.0,used,suv,suv,6.0,6.0,automatic,rear,premium,9.9,4.0,5.0,other,nsw,9.0,19140.666666666668,37,0,0.10101010101010101,36.0,mid,other,0.01641212673808981,0.64497378618646
mitsubishi,other,2013.0,116003.0,used,my car choice,wagon,4.0,4.0,automatic,other,unleaded,8.0,4.0,5.0,other,nsw,13.0,8923.307692307691,47,0,0.125,16.0,mid,other,0.398677912012765,0.64497378618646
nissan,pathfinder,2012.0,191547.0,used,suv,suv,4.0,4.0,manual,4wd,diesel,8.5,4.0,7.0,"minchinbury, nsw",nsw,14.0,13681.92857142857,31,0,0.11764705882352941,16.0,mid,"minchinbury,",0.00501481650330522,0.05846820150444495
honda,civic,2016.0,55656.0,used,sedan,sedan,4.0,4.0,automatic,front,unleaded,6.0,4.0,5.0,other,vic,10.0,5565.6,22,0,0.16666666666666666,16.0,budget,other,0.006268520629131525,0.64497378618646
holden,colorado,2008.0,158125.0,used,ute / tray,ute / tray,6.0,6.0,manual,rear,unleaded,13.1,2.0,2.0,"rocklea, qld",qld,18.0,8784.722222222223,29,0,0.07633587786259542,36.0,budget,"rocklea,",0.01584226122635058,0.010827444723045362
ford,ranger,2016.0,85220.0,used,ute / tray,ute / tray,5.0,5.0,automatic,4wd,diesel,9.0,4.0,5.0,"berwick, vic",vic,10.0,8522.0,35,0,0.1111111111111111,25.0,mid,"berwick,",0.024048324595395486,0.0063824937314793705
toyota,estima,2013.0,123000.0,used,automobex pty ltd,wagon,4.0,4.0,automatic,other,unknown,8.0,4.0,5.0,other,vic,13.0,9461.538461538461,18,0,0.125,16.0,mid,other,0.010143606108958286,0.64497378618646
honda,other,2003.0,313628.0,used,sedan,sedan,4.0,4.0,automatic,front,premium,9.4,4.0,5.0,"braybrook, vic",vic,23.0,13636.0,29,0,0.10638297872340426,16.0,budget,"braybrook,",0.398677912012765,0.0063824937314793705
